Date,Australian_Equity,International_Equity,Bonds,Cash
2023-01-03,100.59496694098338,100.51471855369665,100.29437383112763,99.983724964436
2023-01-04,100.46919209872979,101.32384195239013,100.20364873807867,99.94327067384984
2023-01-05,101.23894264389799,102.07463536675876,100.24492575436743,100.00081196666994
2023-01-06,103.0194314856707,103.50099570948697,100.45632196348629,99.99000629267773
2023-01-09,102.77861435577323,104.62538648164343,99.87898561268685,100.07065683691829
2023-01-10,102.53837929071636,105.26802365330428,99.69511828767979,100.12345072338853
2023-01-11,104.4070438936051,105.21256193028057,100.01023147411271,100.18047073693958
2023-01-12,105.34872779533755,103.04844496063592,99.5519807681508,100.10818227957753
2023-01-13,104.82136482713187,103.6430163154789,99.67824004162877,100.19851408082236
2023-01-16,105.4995080038937,103.95122595458433,99.18297204874588,100.22892044760343
2023-01-17,104.97863557936131,104.34402796907749,99.37356896919866,100.21952560567735
2023-01-18,104.45758265551011,102.7028657354442,99.37595572536605,100.24249743757292
2023-01-19,104.7773330184915,101.34072899340913,98.78507679689395,100.14425636840511
2023-01-20,102.53749765373148,102.72155942245745,99.23563860652759,100.18394513581809
2023-01-23,100.56454603069498,102.70705460011578,98.97586302272009,100.13289598475174
2023-01-24,99.95529775495741,103.62558891035928,98.68846322684196,100.06147987183314
2023-01-25,98.83910043318018,103.69956937999822,98.77894184300538,99.97941872604137
2023-01-26,99.22266435579907,103.7754810918413,99.22346399850503,100.06338310964584
2023-01-27,98.23256455818169,105.03930120628912,98.8582506639362,100.03761580893334
2023-01-30,96.69065137096125,104.39389671545531,98.89698906805174,100.14816202931114
2023-01-31,98.32823859235165,104.55760208990041,99.07297667392102,100.12826916853463
2023-02-01,98.10772745877387,103.98598794411002,99.34824332234602,100.03448447290036
2023-02-02,98.21399364692034,103.45389215710374,99.4302668765745,99.9780194682512
2023-02-03,96.65851325793352,103.08786610355183,99.30811632847663,100.06973700732082
2023-02-06,96.09255257313345,103.41318721647703,99.0132440299896,100.07380807115818
2023-02-07,96.24391797153112,102.82636672511929,99.06119846418294,100.05314286552745
2023-02-08,95.01838833190547,104.48991049617906,98.6754963170321,100.0771246930118
2023-02-09,95.45333266921827,103.34952331500364,97.6016171268102,100.12265801351113
2023-02-10,94.8335406010381,103.14311172890093,97.77815611331843,100.20703978570775
2023-02-13,94.54998490867914,102.60852637178384,98.12774066498893,100.31239322213636
2023-02-14,93.93491349072019,104.51574703021265,97.26693321669602,100.30359140594189
2023-02-15,95.93763597631269,104.81189242811557,96.9111606186108,100.23373570835594
2023-02-16,95.95340967540142,106.21188186634076,97.15333320664911,100.22155032511412
2023-02-17,94.83307164460567,104.26192108264598,97.92427716715835,100.25190244131335
2023-02-20,95.74766482670474,104.64994849941576,97.94751684905324,100.2049622781193
2023-02-21,94.45261968603589,105.8602709226579,97.6935524231232,100.15846121212346
2023-02-22,94.70629589209474,106.00782147489245,97.64152538854322,100.19406302773916
2023-02-23,92.63193345162452,107.4687082455475,98.16442256651958,100.20490811209282
2023-02-24,91.26628365499977,106.80669251014179,97.94033430038064,100.22089571039167
2023-02-27,91.49898136628157,108.741309004964,97.66003575317897,100.18692901878072
2023-02-28,92.29418842413567,111.92966255554788,97.49734694164277,100.18630285862417
2023-03-01,92.50282811089234,111.45796931940943,97.16151603421424,100.14188793956936
2023-03-02,92.41089251514092,110.8721839797238,97.22198745471923,100.21195333083021
2023-03-03,92.12472050028573,112.94195324145085,97.83443129146397,100.29122446035777
2023-03-06,90.60950807474872,115.22991792534447,97.96942862366355,100.18851620249576
2023-03-07,89.89869408128548,114.51200392946303,97.8915354405254,100.143767210611
2023-03-08,89.45767874168534,113.94669098071941,97.79910500307834,100.06326805237664
2023-03-09,90.55837493731619,113.58285811211726,97.23680164121772,100.03619216274014
2023-03-10,90.93996307007296,111.69950196012091,97.5767970583374,100.04482807797595
2023-03-13,89.15085243468376,110.44659279935232,97.5635786425917,99.96736319115271
2023-03-14,89.5067628854155,109.08877987478711,97.51251193420445,99.92319479016167
2023-03-15,89.14435337528431,108.07248728786418,98.70485030354972,99.87387821601948
2023-03-16,88.48841908779617,108.06385816998396,98.8319732687289,99.90078973524686
2023-03-17,89.13024483788168,108.4213302921726,98.56682952702633,99.91902879378155
2023-03-20,90.20051155309558,110.57800542582561,98.42363655725947,99.8874780580512
2023-03-21,91.18163914128792,109.2266387236832,98.8664884867337,99.9124774534063
2023-03-22,90.3429165094841,110.62020017589072,98.92450849005637,99.8919467187118
2023-03-23,90.05484199731343,110.36147466412427,98.40243938007697,99.88872642755908
2023-03-24,90.42169251449049,110.33211395306073,98.75994419593509,100.00790013278842
2023-03-27,91.45061020497687,111.30955379823178,98.52621722191024,100.10623789904929
2023-03-28,90.98276124444263,109.77483714406313,99.23946133910452,100.03818864767409
2023-03-29,90.82011003374802,110.34292772204499,99.66032876315258,100.10437103041549
2023-03-30,89.7096344619768,110.61373614206597,99.50765036661986,100.16944094115192
2023-03-31,88.52131840747992,111.3395221551044,100.0052400539101,100.11089701231862
2023-04-03,89.36498297286187,111.78491646551353,100.04676221773012,100.17643664562934
2023-04-04,90.76763579466092,115.28278018390611,100.38511153200744,100.28740157700791
2023-04-05,90.72233750600188,114.39768214665307,100.5849630302416,100.2304134745422
2023-04-06,91.78346713567126,113.67322565465132,100.27916489600092,100.18640394762389
2023-04-07,92.1889690089227,112.82139375936764,100.0511642127085,100.26454486993957
2023-04-10,91.54387576488284,112.0721230747212,100.45653312396847,100.29561834222798
2023-04-11,91.94806955901004,111.21217348658952,100.34536775755205,100.34439072622132
2023-04-12,93.58080574895328,112.91787274563141,100.20820390545882,100.37985644049205
2023-04-13,93.57249869477975,114.97905461162772,99.86235594610729,100.41850310534377
2023-04-14,95.26231057770588,114.19333552074866,100.03809213575228,100.34854052910714
2023-04-17,92.46277446817159,113.03660822924802,100.8338292936555,100.42868258954532
2023-04-18,93.35383440935684,113.74833425805355,100.44298073425266,100.51662410338851
2023-04-19,93.47561274022287,112.99757096212761,100.46811870957943,100.51605983349026
2023-04-20,93.18836551450191,113.93899149209865,101.02033390149174,100.52726747315475
2023-04-21,93.3149087659506,114.27097924735638,101.00596012165724,100.44427033371231
2023-04-24,91.24150255473101,112.1296053168275,101.19469327663342,100.49075985285123
2023-04-25,91.04319966339988,114.35581257284824,100.80441166123448,100.5409299857693
2023-04-26,91.44076130499272,116.98406076708147,100.98359944852251,100.55095514616599
2023-04-27,93.0021309244479,116.12267566381287,100.92819896970495,100.63613838912306
2023-04-28,92.48511612130305,115.5969374877806,101.3202484365198,100.62893686853285
2023-05-01,91.66662326545365,116.05455203777724,101.79104589844326,100.67870363287909
2023-05-02,91.17419660217043,116.58502606081372,102.80349636018833,100.62801801997085
2023-05-03,92.14950017501086,117.59395530398746,103.04503704309982,100.6405011699713
2023-05-04,92.5222584966405,120.6141607806191,103.18828247264406,100.643425383414
2023-05-05,91.99585719921281,120.38834903994984,103.28047436782086,100.67168802372555
2023-05-08,92.56046944197439,119.22052703027617,103.15900486353226,100.66223583853603
2023-05-09,92.69174020485087,117.1913166460903,103.30735564495181,100.66787986322896
2023-05-10,93.73923678046252,116.15397309021849,103.20840969606908,100.73424513235327
2023-05-11,93.02278090278175,116.14697855686484,103.2905071145365,100.72052042195907
2023-05-12,92.70670073047657,118.81446195654863,103.82129438318073,100.63257533701764
