Date,Rolling Volatility,Rolling VaR,Drawdown,Volatility Utilisation,VaR Utilisation,Drawdown Utilisation,Status
2023-01-04,,,0.0,,,0.0,PASS
2023-01-05,,,0.0,,,0.0,PASS
2023-01-06,,,0.0,,,0.0,PASS
2023-01-09,,,0.0,,,0.0,PASS
2023-01-10,,,0.0,,,0.0,PASS
2023-01-11,,,0.0,,,0.0,PASS
2023-01-12,,,-0.006510359396928789,,,0.06510359396928789,PASS
2023-01-13,,,-0.005367791708739467,,,0.053677917087394666,PASS
2023-01-16,,,-0.0032124522661431953,,,0.03212452266143195,PASS
2023-01-17,,,-0.002808468538560427,,,0.02808468538560427,PASS
2023-01-18,,,-0.010539346848907671,,,0.10539346848907671,PASS
2023-01-19,,,-0.016153567994158347,,,0.16153567994158347,PASS
2023-01-20,,,-0.016164432675559448,,,0.16164432675559448,PASS
2023-01-23,,,-0.022464297172271497,,,0.22464297172271497,PASS
2023-01-24,,,-0.02138143690971106,,,0.2138143690971106,PASS
2023-01-25,,,-0.024281249899508528,,,0.24281249899508528,PASS
2023-01-26,,,-0.021899484374035105,,,0.21899484374035105,PASS
2023-01-27,,,-0.020808022471552445,,,0.20808022471552445,PASS
2023-01-30,,,-0.027640682200230415,,,0.27640682200230415,PASS
2023-01-31,,,-0.021763543821359588,,,0.21763543821359588,PASS
2023-02-01,,,-0.024108916548503334,,,0.24108916548503334,PASS
2023-02-02,,,-0.025683197498732935,,,0.25683197498732935,PASS
2023-02-03,,,-0.03184135400755883,,,0.3184135400755883,PASS
2023-02-06,,,-0.03289089305560178,,,0.3289089305560178,PASS
2023-02-07,,,-0.03455531986845939,,,0.3455531986845939,PASS
2023-02-08,,,-0.03272439907295699,,,0.3272439907295699,PASS
2023-02-09,,,-0.037680125726109015,,,0.37680125726109015,PASS
2023-02-10,,,-0.03989422886723515,,,0.3989422886723515,PASS
2023-02-13,,,-0.04195845393325148,,,0.4195845393325148,PASS
2023-02-14,,,-0.03839441728049442,,,0.3839441728049442,PASS
2023-02-15,,,-0.031924433517471984,,,0.31924433517471984,PASS
2023-02-16,,,-0.026232327904947894,,,0.26232327904947894,PASS
2023-02-17,,,-0.035219296252848364,,,0.35219296252848364,PASS
2023-02-20,,,-0.030991068363056984,,,0.30991068363056984,PASS
2023-02-21,,,-0.0309876624136588,,,0.309876624136588,PASS
2023-02-22,,,-0.029735417903901107,,,0.29735417903901107,PASS
2023-02-23,,,-0.02971279187738407,,,0.2971279187738407,PASS
2023-02-24,,,-0.036822532446212475,,,0.36822532446212475,PASS
2023-02-27,,,-0.02969124396192413,,,0.2969124396192413,PASS
2023-02-28,,,-0.016105290062920496,,,0.16105290062920496,PASS
2023-03-01,,,-0.01781798915353061,,,0.1781798915353061,PASS
2023-03-02,,,-0.01998466570227264,,,0.19984665702272641,PASS
2023-03-03,,,-0.012264891830056635,,,0.12264891830056635,PASS
2023-03-06,,,-0.008963394592602425,,,0.08963394592602425,PASS
2023-03-07,,,-0.013967367870031833,,,0.13967367870031833,PASS
2023-03-08,,,-0.017631089688682766,,,0.17631089688682766,PASS
2023-03-09,,,-0.01641584809018437,,,0.1641584809018437,PASS
2023-03-10,,,-0.020999814355245006,,,0.20999814355245006,PASS
2023-03-13,,,-0.03127275488555059,,,0.3127275488555059,PASS
2023-03-14,,,-0.0350205041857532,,,0.350205041857532,PASS
2023-03-15,,,-0.03747639011773829,,,0.3747639011773829,PASS
2023-03-16,,,-0.03935797445116718,,,0.39357974451167177,PASS
2023-03-17,,,-0.0364944386299737,,,0.364944386299737,PASS
2023-03-20,,,-0.02566763487607726,,,0.2566763487607726,PASS
2023-03-21,,,-0.026349961853677772,,,0.2634996185367777,PASS
2023-03-22,,,-0.023973587959571052,,,0.23973587959571052,PASS
2023-03-23,,,-0.026853707702701568,,,0.2685370770270157,PASS
2023-03-24,,,-0.024944785784932866,,,0.24944785784932866,PASS
2023-03-27,,,-0.018526616474237256,,,0.18526616474237256,PASS
2023-03-28,,,-0.02409161026734019,,,0.2409161026734019,PASS
2023-03-29,,,-0.02170253823699575,,,0.2170253823699575,PASS
2023-03-30,,,-0.024566854079937528,,,0.24566854079937528,PASS
2023-03-31,0.08092280158587573,,-0.024964477343559666,1.0115350198234465,,0.24964477343559666,BREACH
2023-04-03,0.08127343137109085,,-0.02047168108513464,1.0159178921386356,,0.2047168108513464,BREACH
